timestamp,sensor,dimension,residual_values,nis,chi2_threshold
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
0.000000000,barometer,1,nan,nan,0.000000000
